PWS ID,PWS Name,Status,County,Population Served,Fluoride Product,Fluoridated,Water Source
FL-1030050,BAY COUNTY WATER SYSTEM,Adjusted,Bay (Primary),26466,H2SiF6,Yes,Unknown
FL-1030141,"CALLAWAY, CITY OF WATER SYSTEM",Consecutive,Bay (Primary),13652,H2SiF6,Yes,Surface
FL-1030148,"SPRINGFIELD, CITY OF WTR. SYS.",Consecutive,Bay (Primary),7992,H2SiF6,Yes,Surface
FL-1030435,"LYNN HAVEN, CITY OF WATER SYS.",Consecutive,Bay (Primary),17029,H2SiF6,Yes,Ground
FL-1030467,"MEXICO BEACH, CITY OF",Consecutive,Bay (Primary),4754,H2SiF6,Yes,Ground
FL-1030515,"PANAMA CITY BEACH, CITY OF",Consecutive,Bay (Primary),55415,H2SiF6,Yes,Ground
FL-1030517,PANAMA CITY WATER SYSTEM,Consecutive,Bay (Primary),33001,H2SiF6,Yes,Surface
FL-1030520,"PARKER, CITY OF WATER SYSTEM",Consecutive,Bay (Primary),3413,H2SiF6,Yes,Surface
FL-1030568,ST. ANDREWS CREEKSIDE PARK  LLC,Non-Adjusted,Bay (Primary),76,Natural                       ,No,Ground
FL-1034054,DEERHAVEN MHP,Non-Adjusted,Bay (Primary),67,Natural                       ,No,Ground
FL-1070014,"ALTHA, TOWN OF WATER SYSTEM",Non-Adjusted,Calhoun (Primary),715,Natural                       ,No,Ground
FL-1070685,"BLOUNTSTOWN, CITY OF",Natural,Calhoun (Primary),3487,Natural                       ,Yes,Ground
FL-1170085,BRATT-DAVISVILLE WATER SYSTEM,Non-Adjusted,Escambia (Primary),2526,Natural                       ,No,Ground
FL-1170126,"CENTRAL WATER WORKS, INC.",Non-Adjusted,Escambia (Primary),2255,Natural                       ,No,Ground
FL-1170168,COTTAGE HILL WATER WORKS,Non-Adjusted,Escambia (Primary),3111,Natural                       ,No,Ground
FL-1170259,"FARM HILL UTILITIES, INC.",Consecutive,Escambia (Primary),6215,H2SiF6,Yes,Ground
FL-1170302,"GONZALEZ UTILITIES ASSN.,INC.",Non-Adjusted,Escambia (Primary),5683,Natural                       ,No,Ground
FL-1170475,"MOLINO UTILITIES, INC.",Consecutive,Escambia (Primary),6926,Natural                       ,No,Ground
FL-1170525,EMERALD COAST  UTILITIES  AUTHORITY,Adjusted,Escambia (Primary),228794,H2SiF6,Yes,Ground
FL-1170527,PEOPLES WATER SERVICE COMPANY,Non-Adjusted,Escambia (Primary),21874,Natural                       ,No,Ground
FL-1170613,"CENTURY, TOWN OF",Non-Adjusted,Escambia (Primary),3121,Natural                       ,No,Ground
FL-1170703,UWF PHYSCIAL PLANT,Consecutive,Escambia (Primary),11879,H2SiF6,Yes,Ground
FL-1170718,"WALNUT HILL WATER WORKS, INC.",Consecutive,Escambia (Primary),3562,Natural                       ,No,Ground
FL-1170814,CORRY FIELD-NAS,Natural,Escambia (Primary),20207,Natural                       ,Yes,Ground
FL-1170899,SAUFLEY FIELD-NAS,Consecutive,Escambia (Primary),1545,H2SiF6,Yes,Unknown
FL-1190013,ALLIGATOR POINT WATER RESOURCE DIST.,Non-Adjusted,Franklin (Primary),600,Natural                       ,No,Ground
FL-1190118,"CARRABELLE, CITY OF WATER SYS.",Non-Adjusted,Franklin (Primary),2349,Natural                       ,No,Ground
FL-1190150,"APALACHICOLA, CITY OF",Natural,Franklin (Primary),4211,Natural                       ,Yes,Ground
FL-1190236,EASTPOINT WATER & SEWER DIST.,Non-Adjusted,Franklin (Primary),2161,Natural                       ,No,Ground
FL-1190414,LANARK VILLAGE (CITY OF CARRABELLE),Non-Adjusted,Franklin (Primary),1453,Natural                       ,No,Ground
FL-1190789,WATER MANAGEMENT SERVICES INC.,Non-Adjusted,Franklin (Primary),4107,Natural                       ,No,Ground
FL-1200134,"CHATTAHOOCHEE, CITY OF",Non-Adjusted,Gadsden (Primary),2481,Natural                       ,No,Ground
FL-1200275,FLORIDA STATE HOSPITAL,Consecutive,Gadsden (Primary),2845,Natural                       ,No,Ground
FL-1200334,"HAVANA, TOWN OF WATER SYSTEM",Non-Adjusted,Gadsden (Primary),3556,Natural                       ,No,Ground
FL-1200459,RENTZ'S MOBILE HOME PARK,Non-Adjusted,Gadsden (Primary),76,Natural                       ,No,Ground
FL-1200551,"QUINCY, CITY OF W/S",Adjusted,Gadsden (Primary),9041,H2SiF6,Yes,Surface
FL-1200687,"GREENSBORO, TOWN OF WATER SYS.",Non-Adjusted,Gadsden (Primary),710,Natural                       ,No,Ground
FL-1200688,"GRETNA, CITY OF",Non-Adjusted,Gadsden (Primary),1413,Natural                       ,No,Ground
FL-1200797,GADSDEN CO REGIONAL W/S,Non-Adjusted,Gadsden (Primary),11061,Natural                       ,No,Ground
FL-1200885,JAMIESON WATER SYSTEM,Non-Adjusted,Gadsden (Primary),96,Natural                       ,No,Ground
FL-1204029,ST. JAMES COMMUNITY,Non-Adjusted,Gadsden (Primary),88,Natural                       ,No,Ground
FL-1204051,JOYLAND SUBDIVISION,Non-Adjusted,Gadsden (Primary),112,Natural                       ,No,Ground
FL-1204063,HINSON HEIGHTS,Consecutive,Gadsden (Primary),156,Natural                       ,No,Ground
FL-1204064,TOBACCO ROAD,Consecutive,Gadsden (Primary),122,Natural                       ,No,Ground
FL-1204065,HAMMOCK CREEK,Non-Adjusted,Gadsden (Primary),36,Natural                       ,No,Ground
FL-1204067,MEADOWS GROCERY,Non-Adjusted,Gadsden (Primary),49,Natural                       ,No,Ground
FL-1204079,ROSEDALE WATER ASSOCIATION,Consecutive,Gadsden (Primary),331,Natural                       ,No,Ground
FL-1230545,"PORT ST. JOE, CITY OF",Natural,Gulf (Primary),12234,Natural                       ,Yes,Ground
FL-1230734,"WEWAHITCHKA, CITY OF",Natural,Gulf (Primary),2031,Natural                       ,Yes,Ground
FL-1230848,LIGHTHOUSE UTILITIES,Natural,Gulf (Primary),4700,Natural                       ,Yes,Ground
FL-1234011,GULF FORESTRY WORK CAMP,Natural,Gulf (Primary),268,Natural                       ,Yes,Ground
FL-1234013,GULF CORRECTIONAL INSTITUTION,Natural,Gulf (Primary),894,Natural                       ,Yes,Ground
FL-1300083,"BONIFAY, CITY OF WATER DEPT.",Non-Adjusted,Holmes (Primary),2467,Natural                       ,No,Ground
FL-1300214,JOYCE E. SNARE WATER WORKS,Non-Adjusted,Holmes (Primary),279,Natural                       ,No,Ground
FL-1300247,"ESTO, TOWN OF",Non-Adjusted,Holmes (Primary),358,Natural                       ,No,Ground
FL-1300498,"NOMA WATER WORKS, INC.",Non-Adjusted,Holmes (Primary),216,Natural                       ,No,Ground
FL-1302006,TEEN CHALLENGE WEST FLORIDA,Non-Adjusted,Holmes (Primary),69,Natural                       ,No,Ground
FL-1304033,"WESTVILLE, TOWN OF",Non-Adjusted,Holmes (Primary),266,Natural                       ,No,Ground
FL-1304034,"PONCE DE LEON, TOWN OF",Non-Adjusted,Holmes (Primary),760,Natural                       ,No,Ground
FL-1320011,TOWN OF ALFORD,Non-Adjusted,Jackson (Primary),447,Natural                       ,No,Ground
FL-1320025,APALACHEE CORRECTIONAL INST.,Non-Adjusted,Jackson (Primary),2038,Natural                       ,No,Ground
FL-1320111,CAMPBELLTON WATER DEPARTMENT,Non-Adjusted,Jackson (Primary),193,Natural                       ,No,Ground
FL-1320143,COTTONDALE WATER SYSTEM,Non-Adjusted,Jackson (Primary),849,Natural                       ,No,Ground
FL-1320145,"GRACEVILLE, CITY OF",Non-Adjusted,Jackson (Primary),3577,Natural                       ,No,Ground
FL-1320311,GREENWOOD WATER SYSTEM,Non-Adjusted,Jackson (Primary),796,Natural                       ,No,Ground
FL-1320440,"MALONE, TOWN OF WATER SYSTEM",Non-Adjusted,Jackson (Primary),505,Natural                       ,No,Ground
FL-1320449,"MARIANNA, CITY OF",Non-Adjusted,Jackson (Primary),5456,Natural                       ,No,Ground
FL-1320686,"GRAND RIDGE, TOWN OF",Non-Adjusted,Jackson (Primary),873,Natural                       ,No,Ground
FL-1320689,"SNEADS, TOWN OF WATER SYSTEM",Non-Adjusted,Jackson (Primary),1717,Natural                       ,No,Ground
FL-1320879,QUIET HAVEN TRAILER PARK,Non-Adjusted,Jackson (Primary),53,Natural                       ,No,Ground
FL-1324031,"JACOB, CITY OF",Non-Adjusted,Jackson (Primary),251,Natural                       ,No,Ground
FL-1324064,BLUE SPRINGS MHP (AKA SPRINGSIDE),Non-Adjusted,Jackson (Primary),45,Natural                       ,No,Ground
