,PWS ID,PWS Name,Status,County,Population Served,Fluoride Product,Fluoridated,Water Source,year
0,FL-1030050,BAY COUNTY WATER SYSTEM,Adjusted,Bay (Primary),26466,H2SiF6,Yes,Unknown,2019
1,FL-1030141,"CALLAWAY, CITY OF WATER SYSTEM",Consecutive,Bay (Primary),13652,H2SiF6,Yes,Surface,2019
2,FL-1030148,"SPRINGFIELD, CITY OF WTR. SYS.",Consecutive,Bay (Primary),8485,H2SiF6,Yes,Surface,2019
3,FL-1030435,"LYNN HAVEN, CITY OF WATER SYS.",Non-Adjusted,Bay (Primary),17029,Natural                       ,No,Ground,2019
4,FL-1030467,"MEXICO BEACH, CITY OF",Consecutive,Bay (Primary),4754,H2SiF6,Yes,Ground,2019
5,FL-1030515,"PANAMA CITY BEACH, CITY OF",Consecutive,Bay (Primary),55415,H2SiF6,Yes,Ground,2019
6,FL-1030517,PANAMA CITY WATER SYSTEM,Consecutive,Bay (Primary),33001,H2SiF6,Yes,Surface,2019
7,FL-1030520,"PARKER, CITY OF WATER SYSTEM",Consecutive,Bay (Primary),3860,H2SiF6,Yes,Surface,2019
8,FL-1030568,ST. ANDREWS CREEKSIDE PARK  LLC,Non-Adjusted,Bay (Primary),76,Natural                       ,No,Ground,2019
9,FL-1034054,DEERHAVEN MHP,Non-Adjusted,Bay (Primary),67,Natural                       ,No,Ground,2019
10,FL-1070014,"ALTHA, TOWN OF WATER SYSTEM",Non-Adjusted,Calhoun (Primary),715,Natural                       ,No,Ground,2019
11,FL-1070685,"BLOUNTSTOWN, CITY OF",Natural,Calhoun (Primary),3487,Natural                       ,Yes,Ground,2019
12,FL-1170085,BRATT-DAVISVILLE WATER SYSTEM,Non-Adjusted,Escambia (Primary),2526,Natural                       ,No,Ground,2019
13,FL-1170126,"CENTRAL WATER WORKS, INC.",Non-Adjusted,Escambia (Primary),2255,Natural                       ,No,Ground,2019
14,FL-1170168,COTTAGE HILL WATER WORKS,Non-Adjusted,Escambia (Primary),3477,Natural                       ,No,Ground,2019
15,FL-1170259,"FARM HILL UTILITIES, INC.",Non-Adjusted,Escambia (Primary),6215,Natural                       ,No,Ground,2019
16,FL-1170302,"GONZALEZ UTILITIES ASSN.,INC.",Non-Adjusted,Escambia (Primary),5683,Natural                       ,No,Ground,2019
17,FL-1170475,"MOLINO UTILITIES, INC.",Non-Adjusted,Escambia (Primary),6926,Natural                       ,No,Ground,2019
18,FL-1170525,EMERALD COAST  UTILITIES  AUTHORITY,Adjusted,Escambia (Primary),228794,H2SiF6,Yes,Ground,2019
19,FL-1170527,PEOPLES WATER SERVICE COMPANY,Non-Adjusted,Escambia (Primary),21532,Natural                       ,No,Ground,2019
20,FL-1170613,"CENTURY, TOWN OF",Non-Adjusted,Escambia (Primary),3627,Natural                       ,No,Ground,2019
21,FL-1170703,UWF PHYSCIAL PLANT,Non-Adjusted,Escambia (Primary),11879,Natural                       ,No,Ground,2019
22,FL-1170718,"WALNUT HILL WATER WORKS, INC.",Non-Adjusted,Escambia (Primary),3562,Natural                       ,No,Ground,2019
23,FL-1170814,CORRY FIELD-NAS,Natural,Escambia (Primary),20207,Natural                       ,Yes,Ground,2019
24,FL-1170899,SAUFLEY FIELD-NAS,Consecutive,Escambia (Primary),1545,H2SiF6,Yes,Unknown,2019
25,FL-1170908,INNERARITY ISLAND W/S,Consecutive,Escambia (Primary),782,H2SiF6,Yes,Ground,2019
26,FL-1190013,ALLIGATOR POINT WATER RESOURCE DIST.,Non-Adjusted,Franklin (Primary),600,Natural                       ,No,Ground,2019
27,FL-1190118,"CARRABELLE, CITY OF WATER SYS.",Non-Adjusted,Franklin (Primary),2349,Natural                       ,No,Ground,2019
28,FL-1190150,"APALACHICOLA, CITY OF",Natural,Franklin (Primary),4211,Natural                       ,Yes,Ground,2019
29,FL-1190236,EASTPOINT WATER & SEWER DIST.,Non-Adjusted,Franklin (Primary),2161,Natural                       ,No,Ground,2019
30,FL-1190414,LANARK VILLAGE (CITY OF CARRABELLE),Non-Adjusted,Franklin (Primary),1453,Natural                       ,No,Ground,2019
31,FL-1190789,WATER MANAGEMENT SERVICES INC.,Non-Adjusted,Franklin (Primary),4107,Natural                       ,No,Ground,2019
32,FL-1200134,"CHATTAHOOCHEE, CITY OF",Non-Adjusted,Gadsden (Primary),2481,Natural                       ,No,Ground,2019
33,FL-1200275,FLORIDA STATE HOSPITAL,Non-Adjusted,Gadsden (Primary),4024,Natural                       ,No,Ground,2019
34,FL-1200334,"HAVANA, TOWN OF WATER SYSTEM",Non-Adjusted,Gadsden (Primary),3556,Natural                       ,No,Ground,2019
35,FL-1200459,RENTZ'S MOBILE HOME PARK,Non-Adjusted,Gadsden (Primary),76,Natural                       ,No,Ground,2019
36,FL-1200551,"QUINCY, CITY OF W/S",Adjusted,Gadsden (Primary),9041,H2SiF6,Yes,Surface,2019
37,FL-1200687,"GREENSBORO, TOWN OF WATER SYS.",Non-Adjusted,Gadsden (Primary),710,Natural                       ,No,Ground,2019
38,FL-1200688,"GRETNA, CITY OF",Non-Adjusted,Gadsden (Primary),1413,Natural                       ,No,Ground,2019
39,FL-1200797,GADSDEN CO REGIONAL W/S,Non-Adjusted,Gadsden (Primary),11061,Natural                       ,No,Ground,2019
40,FL-1200885,JAMIESON WATER SYSTEM,Non-Adjusted,Gadsden (Primary),96,Natural                       ,No,Ground,2019
41,FL-1204029,ST. JAMES COMMUNITY,Non-Adjusted,Gadsden (Primary),88,Natural                       ,No,Ground,2019
42,FL-1204051,JOYLAND SUBDIVISION,Non-Adjusted,Gadsden (Primary),112,Natural                       ,No,Ground,2019
43,FL-1204063,HINSON HEIGHTS,Consecutive,Gadsden (Primary),156,Natural                       ,No,Ground,2019
44,FL-1204064,TOBACCO ROAD,Consecutive,Gadsden (Primary),122,Natural                       ,No,Ground,2019
45,FL-1204065,HAMMOCK CREEK,Non-Adjusted,Gadsden (Primary),36,Natural                       ,No,Ground,2019
46,FL-1204067,MEADOWS GROCERY,Non-Adjusted,Gadsden (Primary),49,Natural                       ,No,Ground,2019
47,FL-1204079,ROSEDALE WATER ASSOCIATION,Consecutive,Gadsden (Primary),331,Natural                       ,No,Ground,2019
48,FL-1230545,"PORT ST. JOE, CITY OF",Natural,Gulf (Primary),12371,Natural                       ,Yes,Ground,2019
49,FL-1230734,"WEWAHITCHKA, CITY OF",Natural,Gulf (Primary),2031,Natural                       ,Yes,Ground,2019
50,FL-1230848,LIGHTHOUSE UTILITIES,Natural,Gulf (Primary),3964,Natural                       ,Yes,Ground,2019
51,FL-1234011,GULF FORESTRY WORK CAMP,Natural,Gulf (Primary),313,Natural                       ,Yes,Ground,2019
52,FL-1234013,GULF CORRECTIONAL INSTITUTION,Natural,Gulf (Primary),1431,Natural                       ,Yes,Ground,2019
53,FL-1300083,"BONIFAY, CITY OF WATER DEPT.",Non-Adjusted,Holmes (Primary),3619,Natural                       ,No,Ground,2019
54,FL-1300214,JOYCE E. SNARE WATER WORKS,Non-Adjusted,Holmes (Primary),285,Natural                       ,No,Ground,2019
55,FL-1300247,"ESTO, TOWN OF",Non-Adjusted,Holmes (Primary),358,Natural                       ,No,Ground,2019
56,FL-1300498,"NOMA WATER WORKS, INC.",Non-Adjusted,Holmes (Primary),216,Natural                       ,No,Ground,2019
