,PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
0,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202301,2770000.0,1894000.0
1,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202302,2288000.0,2074110.0
2,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202303,25870000.0,21240000.0
3,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202304,28060000.0,24257700.0
4,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202305,30970000.0,23720000.0
5,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202306,30580000.0,27155700.0
6,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202307,31220000.0,23890000.0
7,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202308,36590000.0,29210600.0
8,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202309,27600000.0,22520000.0
9,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202310,27320000.0,22180000.0
10,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202311,23400000.0,19248000.0
11,1030050,NWD,BAY COUNTY WATER SYSTEM,60000000.0,1,ACTIVE,202312,19850000.0,17300000.0
12,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202301,0.0,0.0
13,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202302,0.0,0.0
14,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202303,0.0,0.0
15,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202304,0.0,0.0
16,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202305,0.0,0.0
17,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202306,0.0,0.0
18,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202307,0.0,0.0
19,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202308,0.0,0.0
20,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202309,0.0,0.0
21,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202310,0.0,0.0
22,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202311,0.0,0.0
23,1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1.0,1,ACTIVE,202312,0.0,0.0
24,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202301,0.0,0.0
25,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202302,0.0,0.0
26,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202303,0.0,0.0
27,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202304,0.0,0.0
28,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202305,0.0,0.0
29,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202306,0.0,0.0
30,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202307,0.0,0.0
31,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202308,0.0,0.0
32,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202309,0.0,0.0
33,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202310,0.0,0.0
34,1030148,NWD,"SPRINGFIELD, CITY OF",1.0,1,ACTIVE,202311,0.0,0.0
