,PWSID,SYSTEMNAME,PLANTNUMBER,PLANTNAME,OBJECTIVEID,PROCESSID,PROCESSOBJECTIVEDESC
0,1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,B,1.0,DISINFECT/GASEOUS CHLORIN
1,1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,1.0,PART-RMVL/GASEOUS CHLORIN
2,1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,9.0,PART-RMVL/RAPID MIX
3,1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,10.0,PART-RMVL/COAGULATION
4,1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,11.0,PART-RMVL/FLOCCULATION
5,1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,12.0,PART-RMVL/SEDIMENTATION
6,1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,14.0,PART-RMVL/RAPID SAND FIL
7,1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,Z,27.0,OTHER/FLUORIDATION
8,1030050,BAY COUNTY WATER SYSTEM,3,AIRPORT GAS CHLORINATION,B,1.0,DISINFECT/GASEOUS CHLORIN
9,1030076,AMMIE'S MOBILE HOME PARK,1,PANAMA CITY,B,2.0,DISINFECT/HYPOCHLORIN
10,1030142,CEDAR GROVE WATER SYSTEM,1,CEDAR GROVE (SOURCE-BAY CO),A,999.0,NO TRTMT
11,1030183,CREWS MOBILE HOME PARK,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
12,1030218,DOUGLAS ROAD MOBILE HOME PARK,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
13,1030325,CALLAWAY CORNERS,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
14,1030371,"WESTROCK CP, LLC - PANAMA CITY MILL",1,MAIN PLANT,B,1.0,DISINFECT/GASEOUS CHLORIN
15,1030371,"WESTROCK CP, LLC - PANAMA CITY MILL",1,MAIN PLANT,B,2.0,DISINFECT/HYPOCHLORIN
16,1030371,"WESTROCK CP, LLC - PANAMA CITY MILL",1,MAIN PLANT,D,36.0,CORR-CTRL/CORROSION INHIB
17,1030398,"PRIDE RESORTS, INC. KOA CAMP.",1,PLANT #1,B,1.0,DISINFECT/GASEOUS CHLORIN
18,1030420,LEGEAR MOBILE HOME PARK,1,PANAMA CITY,B,2.0,DISINFECT/HYPOCHLORIN
19,1030435,"LYNN HAVEN, CITY OF WATER SYS.",1,PLANT #1,B,1.0,DISINFECT/GASEOUS CHLORIN
20,1030435,"LYNN HAVEN, CITY OF WATER SYS.",1,PLANT #1,E,20.0,T-O CTRL/AERATION
21,1030435,"LYNN HAVEN, CITY OF WATER SYS.",2,PLANT #2,B,1.0,DISINFECT/GASEOUS CHLORIN
22,1030435,"LYNN HAVEN, CITY OF WATER SYS.",2,PLANT #2,E,20.0,T-O CTRL/AERATION
23,1030435,"LYNN HAVEN, CITY OF WATER SYS.",2,PLANT #2,G,18.0,IRON RMVL/SEQUESTATION
24,1030438,MAGNOLIA BEACH CAMPGROUNDS,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
25,1030451,MARLIN MOTEL AND GRILL,1,PLANT #1,A,999.0,NO TRTMT
26,1030467,"MEXICO BEACH, CITY OF",1,MEXICO BEACH,B,1.0,DISINFECT/GASEOUS CHLORIN
27,1030467,"MEXICO BEACH, CITY OF",1,MEXICO BEACH,B,2.0,DISINFECT/HYPOCHLORIN
28,1030515,PANAMA CITY BEACH CITY OF,1,PLANT #1,B,1.0,DISINFECT/GASEOUS CHLORIN
29,1030515,PANAMA CITY BEACH CITY OF,1,PLANT #1,E,20.0,T-O CTRL/AERATION
30,1030515,PANAMA CITY BEACH CITY OF,2,PLANT #2,B,1.0,DISINFECT/GASEOUS CHLORIN
31,1030515,PANAMA CITY BEACH CITY OF,2,PLANT #2,E,20.0,T-O CTRL/AERATION
32,1030515,PANAMA CITY BEACH CITY OF,3,PLANT #7,B,1.0,DISINFECT/GASEOUS CHLORIN
33,1030515,PANAMA CITY BEACH CITY OF,4,PLANT #8,B,1.0,DISINFECT/GASEOUS CHLORIN
34,1030515,PANAMA CITY BEACH CITY OF,5,WEST BAY PUMP STATION,B,2.0,DISINFECT/HYPOCHLORIN
35,1030516,PANAMA CITY RACQUET CLUB,1,PANAMA CITY,B,2.0,DISINFECT/HYPOCHLORIN
36,1030516,PANAMA CITY RACQUET CLUB,2,PLANT FOR WELL 2,B,1.0,DISINFECT/GASEOUS CHLORIN
37,1030517,PANAMA CITY WATER SYSTEM,1,BALBOA AVE,B,2.0,DISINFECT/HYPOCHLORIN
38,1030517,PANAMA CITY WATER SYSTEM,2,17TH ST. PLANT,B,2.0,DISINFECT/HYPOCHLORIN
39,1030568,"CREEKSIDE ESTATES PC, LLC",1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
40,1030568,"CREEKSIDE ESTATES PC, LLC",1,PLANT #1,G,18.0,IRON RMVL/SEQUESTATION
41,1030619,SOUTHPORT ELEMENTARY SCHOOL,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
42,1030619,SOUTHPORT ELEMENTARY SCHOOL,2,PLANT #2,B,2.0,DISINFECT/HYPOCHLORIN
43,1030716,WALLER ELEMENTARY SCHOOL,1,WALLER ELEMENTARY SCHOOL,B,2.0,DISINFECT/HYPOCHLORIN
44,1030716,WALLER ELEMENTARY SCHOOL,1,WALLER ELEMENTARY SCHOOL,Z,20.0,OTHER/AERATION
45,1030728,WEST BAY ELEMENTARY SCHOOL,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
46,1030738,SINGING OYSTER BAR,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
47,1030748,WOODLAWN UTILITY COMPANY,1,PLANT #1,A,999.0,NO TRTMT
48,1030774,LANSING SMITH ELECTRIC GENERATING PLANT,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
49,1030774,LANSING SMITH ELECTRIC GENERATING PLANT,1,PLANT #1,G,13.0,IRON RMVL/SLOW SAND FILTR
50,1030786,TYNDALL AFB SALVAGE YARD,1,TYNDALL A F B,B,2.0,DISINFECT/HYPOCHLORIN
51,1030787,TYNDALL AFB GOLF COURSE,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
52,1030788,AFRL AREA (TYNDALL AFB),1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
53,1030817,"SANDY CREEK UTILITY SERVICES, INC.",1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
54,1030817,"SANDY CREEK UTILITY SERVICES, INC.",1,PLANT 1,B,20.0,DISINFECT/AERATION
55,1030836,TANGLEWOOD MOBILE HOME PARK,1,TANGLEWOOD,B,2.0,DISINFECT/HYPOCHLORIN
56,1030844,NATIONWIDE FITNESS & RACQUET,1,"COURTHOUSE, THE",B,2.0,DISINFECT/HYPOCHLORIN
57,1030850,TYNDALL FEDERAL CREDIT UNION,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
58,1030893,LA.-PACIFIC CORP. (WEST BAY),1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
59,1030893,LA.-PACIFIC CORP. (WEST BAY),2,PLANT #2,B,2.0,DISINFECT/HYPOCHLORIN
60,1030893,LA.-PACIFIC CORP. (WEST BAY),3,PLANT #3,B,2.0,DISINFECT/HYPOCHLORIN
61,1030896,CASA DEL RIO,1,PANAMA CITY,B,2.0,DISINFECT/HYPOCHLORIN
62,1034011,CYPRESS COURT OFFICE COMPLEX,1,CYPRESS COURT,B,2.0,DISINFECT/HYPOCHLORIN
63,1034016,"BAYSIDE UTILITY SERVICES, INC.",1,NO PLANT,A,999.0,NO TRTMT
64,1034016,"BAYSIDE UTILITY SERVICES, INC.",1,NO PLANT,C,13.0,PART-RMVL/SLOW SAND FILTR
65,1034032,A H & S OFFICE COMPLEX,1,A H & S OFFICE COMPLEX,B,2.0,DISINFECT/HYPOCHLORIN
66,1034038,HOUSE OF SEAFOOD RESTAURANT,1,LYNN HAVEN,B,2.0,DISINFECT/HYPOCHLORIN
67,1034040,TYNDALL AFB NEW POL,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
68,1034041,TYNDALL AFB AMMO STORAGE,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
69,1034042,DERBY WOODS SUBDIVISION,1,PLANT #1,A,999.0,NO TRTMT
70,1034043,J. L.'S BAR-B-QUE,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
71,1034044,GARNER'S FOOD MART,1,WELL #1,A,999.0,NO TRTMT
72,1034045,LONGHORN CAFE,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
73,1034046,77 GAS MART,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
74,1034047,FOR KIDS ONLY,1,WELL #1,A,999.0,NO TRTMT
75,1034048,WILLOW WOOD MOBILE HOME PARK,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
76,1034048,WILLOW WOOD MOBILE HOME PARK,2,WELL #2,B,2.0,DISINFECT/HYPOCHLORIN
77,1034049,TERRY'S PLACE,1,PLANT #1,A,999.0,NO TRTMT
78,1034050,MR. B'S RESTAURANT,1,WELL #1,A,999.0,NO TRTMT
79,1034051,HARDERS PARK WATER SYSTEM,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
80,1034052,CONRAD'S MOBILE HOME PARK,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
81,1034053,CITY SPORTS OF FLORIDA,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
82,1034054,DEER HAVEN PARK,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
83,1034055,THE RESTAURANT,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
84,1034056,EXPRESS LANE,1,WELL #1,A,999.0,NO TRTMT
85,1034057,LISENBY FOOD MART,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
86,1034058,EXPRESS LANE #62,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
87,1034059,"MARKET PLACE, THE",1,WELL #1,A,999.0,NO TRTMT
88,1034060,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
89,1034061,CATO'S SEAFOOD MARKET,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
90,1034062,MR. MART #13,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
91,1034063,M & M MARKET #3,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
92,1034064,1ST BAP. CH. BAYOU GEO. DAY CR,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
93,1034065,BAYOU GEORGE SUPERMARKET,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
94,1034066,BAYOU GEORGE HEAD START,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
95,1034067,PETRO MART,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
96,1034068,FIRST STOP SOUTHERN EXPRESS,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
97,1034069,231 PLAZA,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
98,1034070,PITTS TRAILER PARK,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
99,1034071,U.S. NATIONAL MARINE FISHERIES,1,WELLS NO. 1 & 2,B,1.0,DISINFECT/GASEOUS CHLORIN
100,1034072,WEST BAY ONE STOP,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
101,1034073,THE BAYOU BUSINESS CENTER,1,WELL #1,A,999.0,NO TRTMT
102,1034074,"ALWAYS STOP, LLC",1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
103,1034076,ARNONE'S BAY VIEW RV PARK,1,WELL #1,A,999.0,NO TRTMT
104,1034077,SILVER FLAG (TYNDALL AFB),1,PLANT #1,B,1.0,DISINFECT/GASEOUS CHLORIN
105,1034077,SILVER FLAG (TYNDALL AFB),1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
106,1034078,SOUTHPORT ASSEMBLY OF GOD,1,WELL#1,A,999.0,NO TRTMT
107,1034079,WATSON BAYOU MARINA,1,WELL NO. 1,A,999.0,NO TRTMT
108,1034080,DANNY'S FOOD STORE,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
109,1034081,"GULF COAST ELECTRIC CO-OP, INC",1,WELL NO. 1,B,2.0,DISINFECT/HYPOCHLORIN
110,1034082,PENNY'S OYSTER BAR & RESTAURANT,1,WELL NO. 1,B,2.0,DISINFECT/HYPOCHLORIN
111,1034083,BARTA'S MART,1,WELL NO. 1,A,999.0,NO TRTMT
112,1034084,DIXIE DANDY,1,WELL NO. 1,A,999.0,NO TRTMT
113,1034085,CITGO GAS STATION-(OIL SOUTH),1,WELL #1,A,999.0,NO TRTMT
114,1034086,M & M MARKET #5 (HOBO PANTRY #14),1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
115,1034087,HOBO PANTRY FOOD STORE #4,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
116,1034088,BIG BUCK FOOD STORE #3,1,WELL#1,B,2.0,DISINFECT/HYPOCHLORIN
117,1034089,RITZ FOOD STORE #25,1,WELL NO. 1,B,2.0,DISINFECT/HYPOCHLORIN
118,1034090,COUNTRY FOLKS CAFE,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
119,1034092,FL FISH & WILDLIFE CONSERV. COMMISSION,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
120,1034093,JAMALO'S RV PARK,1,WELL NO. 1,A,999.0,NO TRTMT
121,1034094,LIGHTHOUSE MARINA,1,PASSPORT MARINA,B,2.0,DISINFECT/HYPOCHLORIN
122,1034095,SKOOTERS #4,1,WELL#1,B,2.0,DISINFECT/HYPOCHLORIN
123,1034096,GARNER'S SUPERMARKET,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
124,1034097,TRIANGLE CONSTRUCTION,1,WELL NO. 1,B,1.0,DISINFECT/GASEOUS CHLORIN
125,1034098,NORTH BAY LEARNING CENTER,1,WELL #1,B,1.0,DISINFECT/GASEOUS CHLORIN
126,1034099,NORTH BAY ANIMAL HOSPITAL,1,WELL #1,A,999.0,NO TRTMT
127,1034100,"TEK DISTRIBUTORS,INC.",1,WELL #1,A,999.0,NO TRTMT
128,1034101,ADVANCED EYE CARE CENTER,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
129,1034102,CLEO'S BAR,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
130,1034103,EXPRESS LANE #42,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
131,1034104,PARAMORE PERIODONTAL OFFICE,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
132,1034105,PICK-A-PAIR,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
133,1034106,STACEY'S SWINGERS DAY CARE,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
134,1034107,TYNDALL AIR FORCE BASE,1,WELL #10,B,2.0,DISINFECT/HYPOCHLORIN
135,1034108,GYMNASTICS PLUS,1,WELL NO.1,A,999.0,NO TRTMT
136,1034109,FULL SCALE DRONE (TYNDALL AFB),1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
137,1034110,AMMO AREA - TYNDALL AFB,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
138,1034111,HARVEST WORSHIP CENTER,1,WELL NO.1,A,999.0,NO TRTMT
139,1034112,COUNTRY MART,1,WELL NO.1,B,2.0,DISINFECT/HYPOCHLORIN
140,1034113,CHILD WORLD LEARNING CENTER,1,WELL NO.1,B,2.0,DISINFECT/HYPOCHLORIN
141,1034114,PINE LAKE RV PARK,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
142,1034116,EARL'S PLACE,1,WELL NO.1,B,2.0,DISINFECT/HYPOCHLORIN
143,1034117,HITCHING POST,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
144,1034118,JOHN MULRENNAN RESEARCH LAB,1,JOHN MULRENNAN RESEARCH LAB,A,999.0,NO TRTMT
145,1034119,DEER POINT LAKE ASSEMBLY OF GOD,1,WELL NO.1,B,2.0,DISINFECT/HYPOCHLORIN
146,1034120,KEYHOLE TAVERN,1,WELL NO.1,A,999.0,NO TRTMT
147,1034121,BOON DOCK RESTAURANT,1,CHLORINATOR,B,2.0,DISINFECT/HYPOCHLORIN
148,1034123,NORTH BAY CENTER OF GULF COAST COM. COLL,1,PLANT,B,2.0,DISINFECT/HYPOCHLORIN
149,1034124,JENKS AVENUE CHURCH OF CHRIST,1,PLANT,A,999.0,NO TRTMT
150,1034125,GREASE PRO,1,PLANT,B,2.0,DISINFECT/HYPOCHLORIN
151,1034126,HAPPY STORE 522,1,PLANT-PERMIT# 0127069-001-WC/3,B,2.0,DISINFECT/HYPOCHLORIN
152,1034127,ROTTEN RALPH BAR AND LOUNGE,1,WELL NO.1,A,999.0,NO TRTMT
153,1034128,CAHALL'S DELI,1,WELL NO. 1,B,2.0,DISINFECT/HYPOCHLORIN
154,1034129,DR. BOBBI D. BAKER WATER SYST.,1,WELL NO.1,B,2.0,DISINFECT/HYPOCHLORIN
155,1034130,E-Z SERVE STORE #4017,1,WELL NO.1,B,2.0,DISINFECT/HYPOCHLORIN
156,1034131,SYLVIA'S GROCERY,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
157,1034132,ASIAN WOK SEAFOOD RESTAURANT,1,WELL NO.1,B,2.0,DISINFECT/HYPOCHLORIN
158,1034133,CHIODOS 231 EXPRESS MARKET,1,PLANT NO. 1,B,2.0,DISINFECT/HYPOCHLORIN
159,1034134,TC'S TAVERN WATER SYSTEM,1,BOZY DRIVE WATER PLANT,B,2.0,DISINFECT/HYPOCHLORIN
160,1034135,SOUTHPORT WATER SYSTEM,1,SOUTHPORT WATER SYSTEM,B,1.0,DISINFECT/GASEOUS CHLORIN
161,1034136,QUICK STOP #8,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
162,1034137,DEANE BOZEMAN LEARNING CENTER,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
163,1034138,BAY BEHAVIORAL HOPE PROGRAM,3,WELL NO.2,B,2.0,DISINFECT/HYPOCHLORIN
