X,Y,GIS_PLANT_ID,PWS_OC1_OFFICE_ID,PWS_ID,PWS_STATUS,PWS_NAME,PWS_CITY,PWS_TYPE_CODE,PWS_TYPE,PWS_POP_SERVED,PWS_SUBPART_H,PWS_LAST_SAN_SURVEY,PWS_LAST_01_INSP,PWS_INSPECTOR_INITS,PWS_PRIMARY_SERVICE_AREA,PWS_OPERATOR,PLANT_ID,PLANT_NAME,PLANT_STATUS,PLANT_FOUR_LOG_REMOVAL,PLANT_LAT_DD,PLANT_LAT_MM,PLANT_LONG_DD,PLANT_LONG_MM,PLANT_COORDINATE_METHOD,PLANT_DATUM,PLANT_COORDINATE_DATE,PLANT_DESIGN_CAPACITY,PLANT_HEIGHT_ABOVE_ELLIPSOID,OBJECTID
245503.002308042,690202.60348239,1,NWD,1030050,ACTIVE,BAY COUNTY WATER SYSTEM,PANAMA CITY,C,COMMUNITY,39192,Y,2021/12/09 00:00:00+00,2013/12/27 00:00:00+00,LJ,COUNTY WIDE,SEAN LATHROP,1,PLANT #1,ACTIVE,N,30,12,85,36,DPHO,83,2002/10/02 00:00:00+00,60000000,,1
251455.507056925,683926.616248364,4,NWD,1030141,ACTIVE,"CALLAWAY, CITY OF WATER SYSTEM",CALLAWAY,C,COMMUNITY,20520,Y,2024/05/03 00:00:00+00,2013/10/30 00:00:00+00,KH,MUNICIPAL/CITY,,1,PLANT #1 (BUYS FROM BAY CO),ACTIVE,N,30,9,85,32,DPHO,27,2015/04/22 00:00:00+00,1,,4
244523.079072054,688509.952268666,6,NWD,1030148,ACTIVE,"SPRINGFIELD, CITY OF",SPRINGFIELD,C,COMMUNITY,8083,Y,2021/12/09 00:00:00+00,2014/09/02 00:00:00+00,LJ,MUNICIPAL/CITY,,1,BAY COUNTY 1030050,ACTIVE,N,30,11,85,37,UNVR,27,,1,,6
241542.801294731,693734.184204958,15,NWD,1030435,ACTIVE,"LYNN HAVEN, CITY OF WATER SYS.",LYNN HAVEN,C,COMMUNITY,23333,Y,2021/11/22 00:00:00+00,2014/06/11 00:00:00+00,LJ,MUNICIPAL/CITY,,1,PLANT #1,ACTIVE,N,30,14,85,38,DPHO,83,2006/02/22 00:00:00+00,5832000,,15
240672.725662258,692064.532255039,16,NWD,1030435,ACTIVE,"LYNN HAVEN, CITY OF WATER SYS.",LYNN HAVEN,C,COMMUNITY,23333,Y,2021/11/22 00:00:00+00,2014/06/11 00:00:00+00,LJ,MUNICIPAL/CITY,,2,PLANT #2,ACTIVE,N,30,13,85,39,DPHO,83,2006/08/08 00:00:00+00,,,16
264023.98078024,660601.11455163,19,NWD,1030467,ACTIVE,"MEXICO BEACH, CITY OF",MEXICO BEACH,C,COMMUNITY,5888,Y,2024/02/06 00:00:00+00,2012/09/18 00:00:00+00,KH,MUNICIPAL/CITY,RICHARD (GLENN) DAVIS,1,MEXICO BEACH,ACTIVE,N,29,56,85,24,DPHO,83,2000/02/22 00:00:00+00,1010000,,19
239222.08635141,690489.076816326,25,NWD,1030516,ACTIVE,PANAMA CITY RACQUET CLUB,PANAMA CITY,N,NONCOMMUNITY,110,N,2020/10/08 00:00:00+00,2006/06/13 00:00:00+00,LJ,RECREATION AREA,,2,PLANT FOR WELL 2,ACTIVE,N,30,12,85,40,DPHO,83,2005/09/07 00:00:00+00,28800,,25
238849.178140852,685370.942000186,26,NWD,1030517,ACTIVE,PANAMA CITY WATER SYSTEM,PANAMA CITY,C,COMMUNITY,36139,Y,2023/07/10 00:00:00+00,2012/03/29 00:00:00+00,KH,MUNICIPAL/CITY,RAYMOND NOLIND,1,BALBOA AVE,ACTIVE,N,30,9,85,40,DPHO,83,2006/06/20 00:00:00+00,1,,26
245518.783249482,681279.271262374,27,NWD,1030520,ACTIVE,"PARKER, CITY OF WATER SYSTEM",PARKER,C,COMMUNITY,4317,Y,2023/06/22 00:00:00+00,2012/06/06 00:00:00+00,KH,MUNICIPAL/CITY,BRYAN HALL,1,PLANT #1 (SOURCE-BAY CO WATER),ACTIVE,N,30,7,85,36,DPHO,27,2015/07/02 00:00:00+00,1,,27
238044.104128196,689314.194186995,28,NWD,1030568,ACTIVE,"CREEKSIDE ESTATES PC, LLC",PANAMA CITY,C,COMMUNITY,85,N,2020/10/28 00:00:00+00,2013/02/27 00:00:00+00,LJ,MOBILE HOME PARK,,1,PLANT #1,ACTIVE,N,30,12,85,41,DPHO,83,2006/02/22 00:00:00+00,86400,,28
261756.510709435,707232.263364457,31,NWD,1030716,ACTIVE,WALLER ELEMENTARY SCHOOL,YOUNGSTOWN,P,NONTRANSIENT NONCOMMUNITY,475,N,2024/01/30 00:00:00+00,2014/02/11 00:00:00+00,KH,ELEMENTARY SCHOOL,,1,WALLER ELEMENTARY SCHOOL,ACTIVE,N,30,21,85,26,DPHO,83,2006/02/22 00:00:00+00,216000,,31
236617.725260814,696786.729229029,35,NWD,1030774,ACTIVE,LANSING SMITH ELECTRIC GENERATING PLANT,SOUTHPORT,P,NONTRANSIENT NONCOMMUNITY,25,N,2023/03/23 00:00:00+00,2011/09/27 00:00:00+00,KH,OFFICE FOR BUSINESS,NORMAN 'BRENT' SKIPPER,1,PLANT #1,ACTIVE,N,30,16,85,41,DPHO,83,2006/09/05 00:00:00+00,3168000,,35
244181.987524453,698539.847089196,70,NWD,1034054,ACTIVE,DEER HAVEN PARK,SOUTHPORT,C,COMMUNITY,68,N,2023/10/16 00:00:00+00,2013/02/27 00:00:00+00,KH,MOBILE HOME PARK,,1,PLANT #1,ACTIVE,N,30,17,85,37,DPHO,83,1997/03/05 00:00:00+00,21600,-22.495,70
238074.784170619,688121.675437676,73,NWD,1034057,ACTIVE,LISENBY FOOD MART,PANAMA CITY,N,NONCOMMUNITY,25,N,2023/06/26 00:00:00+00,1993/01/21 00:00:00+00,LC,CONVENIENCE STORE,,1,WELL #1,ACTIVE,N,30,11,85,41,DGPS,83,2001/08/01 00:00:00+00,28800,-19.066,73
