PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202301,2770000,1894000
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202302,2288000,2074110
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202303,25870000,21240000
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202304,28060000,24257700
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202305,30970000,23720000
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202306,30580000,27155700
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202307,31220000,23890000
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202308,36590000,29210600
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202309,27600000,22520000
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202310,27320000,22180000
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202311,23400000,19248000
1030050,NWD,BAY COUNTY WATER SYSTEM,60000000,1,ACTIVE,202312,19850000,17300000
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202301,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202302,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202303,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202304,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202305,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202306,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202307,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202308,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202309,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202310,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202311,,
1030141,NWD,"CALLAWAY, CITY OF WATER SYSTEM",1,1,ACTIVE,202312,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202301,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202302,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202303,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202304,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202305,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202306,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202307,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202308,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202309,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202310,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202311,,
1030148,NWD,"SPRINGFIELD, CITY OF",1,1,ACTIVE,202312,,
1030371,NWD,"WESTROCK CP, LLC - PANAMA CITY MILL",1346400,1,INACTIVE,202301,126500,118118
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202301,2052000,1524323
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202302,2003000,1546679
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202303,2140000,1806645
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202304,2443000,1940033
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202305,2495000,2115677
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202306,2436000,2099367
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202307,2932000,2304742
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202308,2963000,2606935
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202309,3088000,2309467
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202310,2592000,2165903
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202311,2595000,1918867
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",5832000,1,ACTIVE,202312,2772000,1605742
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202301,610000,390300
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202302,147000,11000
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202303,1877000,235677
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202304,415000,182000
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202305,501000,252129
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202306,488000,232000
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202307,909000,431613
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202308,1634000,872548
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202309,1868000,1170000
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202310,1883000,908387
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202311,648000,138000
1030435,NWD,"LYNN HAVEN, CITY OF WATER SYS.",,2,ACTIVE,202312,996000,675480
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202301,361000,228633
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202302,279000,221642
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202303,457000,361645
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202304,571000,434370
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202305,724000,487064
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202306,692000,605533
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202307,779000,605806
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202308,701000,492967
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202309,575000,423566
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202310,564000,430290
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202311,426000,352966
1030467,NWD,"MEXICO BEACH, CITY OF",1010000,1,ACTIVE,202312,308000,247225
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202301,12561000,10884000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202302,11907000,9998000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202303,14354000,13109000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202304,16462000,13128000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202305,18322000,14899000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202306,17935000,15578000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202307,21660000,17847000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202308,18070000,16312000
