PWSID,SYSTEMNAME,PLANTNUMBER,PLANTNAME,OBJECTIVEID,PROCESSID,PROCESSOBJECTIVEDESC
1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,B,01,DISINFECT/GASEOUS CHLORIN
1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,01,PART-RMVL/GASEOUS CHLORIN
1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,09,PART-RMVL/RAPID MIX
1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,10,PART-RMVL/COAGULATION
1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,11,PART-RMVL/FLOCCULATION
1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,12,PART-RMVL/SEDIMENTATION
1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,C,14,PART-RMVL/RAPID SAND FIL
1030050,BAY COUNTY WATER SYSTEM,1,PLANT #1,Z,27,OTHER/FLUORIDATION
1030050,BAY COUNTY WATER SYSTEM,3,AIRPORT GAS CHLORINATION,B,01,DISINFECT/GASEOUS CHLORIN
1030076,AMMIE'S MOBILE HOME PARK,1,PANAMA CITY,B,02,DISINFECT/HYPOCHLORIN
1030142,CEDAR GROVE WATER SYSTEM,1,CEDAR GROVE (SOURCE-BAY CO),A,,NO TRTMT
1030183,CREWS MOBILE HOME PARK,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030218,DOUGLAS ROAD MOBILE HOME PARK,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030325,CALLAWAY CORNERS,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030371,"WESTROCK CP, LLC - PANAMA CITY MILL",1,MAIN PLANT,B,01,DISINFECT/GASEOUS CHLORIN
1030371,"WESTROCK CP, LLC - PANAMA CITY MILL",1,MAIN PLANT,B,02,DISINFECT/HYPOCHLORIN
1030371,"WESTROCK CP, LLC - PANAMA CITY MILL",1,MAIN PLANT,D,36,CORR-CTRL/CORROSION INHIB
1030398,"PRIDE RESORTS, INC. KOA CAMP.",1,PLANT #1,B,01,DISINFECT/GASEOUS CHLORIN
1030420,LEGEAR MOBILE HOME PARK,1,PANAMA CITY,B,02,DISINFECT/HYPOCHLORIN
1030435,"LYNN HAVEN, CITY OF WATER SYS.",1,PLANT #1,B,01,DISINFECT/GASEOUS CHLORIN
1030435,"LYNN HAVEN, CITY OF WATER SYS.",1,PLANT #1,E,20,T-O CTRL/AERATION
1030435,"LYNN HAVEN, CITY OF WATER SYS.",2,PLANT #2,B,01,DISINFECT/GASEOUS CHLORIN
1030435,"LYNN HAVEN, CITY OF WATER SYS.",2,PLANT #2,E,20,T-O CTRL/AERATION
1030435,"LYNN HAVEN, CITY OF WATER SYS.",2,PLANT #2,G,18,IRON RMVL/SEQUESTATION
1030438,MAGNOLIA BEACH CAMPGROUNDS,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030451,MARLIN MOTEL AND GRILL,1,PLANT #1,A,,NO TRTMT
1030467,"MEXICO BEACH, CITY OF",1,MEXICO BEACH,B,01,DISINFECT/GASEOUS CHLORIN
1030467,"MEXICO BEACH, CITY OF",1,MEXICO BEACH,B,02,DISINFECT/HYPOCHLORIN
1030515,PANAMA CITY BEACH CITY OF,1,PLANT #1,B,01,DISINFECT/GASEOUS CHLORIN
1030515,PANAMA CITY BEACH CITY OF,1,PLANT #1,E,20,T-O CTRL/AERATION
1030515,PANAMA CITY BEACH CITY OF,2,PLANT #2,B,01,DISINFECT/GASEOUS CHLORIN
1030515,PANAMA CITY BEACH CITY OF,2,PLANT #2,E,20,T-O CTRL/AERATION
1030515,PANAMA CITY BEACH CITY OF,3,PLANT #7,B,01,DISINFECT/GASEOUS CHLORIN
1030515,PANAMA CITY BEACH CITY OF,4,PLANT #8,B,01,DISINFECT/GASEOUS CHLORIN
1030515,PANAMA CITY BEACH CITY OF,5,WEST BAY PUMP STATION,B,02,DISINFECT/HYPOCHLORIN
1030516,PANAMA CITY RACQUET CLUB,1,PANAMA CITY,B,02,DISINFECT/HYPOCHLORIN
1030516,PANAMA CITY RACQUET CLUB,2,PLANT FOR WELL 2,B,01,DISINFECT/GASEOUS CHLORIN
1030517,PANAMA CITY WATER SYSTEM,1,BALBOA AVE,B,02,DISINFECT/HYPOCHLORIN
1030517,PANAMA CITY WATER SYSTEM,2,17TH ST. PLANT,B,02,DISINFECT/HYPOCHLORIN
1030568,"CREEKSIDE ESTATES PC, LLC",1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030568,"CREEKSIDE ESTATES PC, LLC",1,PLANT #1,G,18,IRON RMVL/SEQUESTATION
1030619,SOUTHPORT ELEMENTARY SCHOOL,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030619,SOUTHPORT ELEMENTARY SCHOOL,2,PLANT #2,B,02,DISINFECT/HYPOCHLORIN
1030716,WALLER ELEMENTARY SCHOOL,1,WALLER ELEMENTARY SCHOOL,B,02,DISINFECT/HYPOCHLORIN
1030716,WALLER ELEMENTARY SCHOOL,1,WALLER ELEMENTARY SCHOOL,Z,20,OTHER/AERATION
1030728,WEST BAY ELEMENTARY SCHOOL,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030738,SINGING OYSTER BAR,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030748,WOODLAWN UTILITY COMPANY,1,PLANT #1,A,,NO TRTMT
1030774,LANSING SMITH ELECTRIC GENERATING PLANT,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030774,LANSING SMITH ELECTRIC GENERATING PLANT,1,PLANT #1,G,13,IRON RMVL/SLOW SAND FILTR
1030786,TYNDALL AFB SALVAGE YARD,1,TYNDALL A F B,B,02,DISINFECT/HYPOCHLORIN
1030787,TYNDALL AFB GOLF COURSE,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030788,AFRL AREA (TYNDALL AFB),1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030817,"SANDY CREEK UTILITY SERVICES, INC.",1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1030817,"SANDY CREEK UTILITY SERVICES, INC.",1,PLANT 1,B,20,DISINFECT/AERATION
1030836,TANGLEWOOD MOBILE HOME PARK,1,TANGLEWOOD,B,02,DISINFECT/HYPOCHLORIN
1030844,NATIONWIDE FITNESS & RACQUET,1,"COURTHOUSE, THE",B,02,DISINFECT/HYPOCHLORIN
1030850,TYNDALL FEDERAL CREDIT UNION,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030893,LA.-PACIFIC CORP. (WEST BAY),1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1030893,LA.-PACIFIC CORP. (WEST BAY),2,PLANT #2,B,02,DISINFECT/HYPOCHLORIN
1030893,LA.-PACIFIC CORP. (WEST BAY),3,PLANT #3,B,02,DISINFECT/HYPOCHLORIN
